date,1. open,2. high,3. low,4. close,5. volume
2019-01-23 09:55:00,146.25,146.25,146.04,146.18,69084.0
2019-01-23 09:56:00,146.23,146.3,146.18,146.22,59278.0
2019-01-23 09:57:00,146.335,146.4425,146.3,146.42,134475.0
2019-01-23 09:58:00,146.35,146.36,146.1751,146.1751,39934.0
2019-01-23 09:59:00,146.19,146.33,146.19,146.25,45407.0
2019-01-23 10:00:00,146.27,146.28,146.1815,146.2,61992.0
2019-01-23 10:01:00,146.22,146.25,146.14,146.18,47508.0
2019-01-23 10:02:00,146.19,146.47,146.19,146.45,52866.0
2019-01-23 10:03:00,146.4732,146.62,146.45,146.5592,92753.0
2019-01-23 10:04:00,146.54,146.57,146.3,146.43,181110.0
2019-01-23 10:05:00,146.38,146.49,146.35,146.43,54151.0
2019-01-23 10:06:00,146.37,146.385,146.22,146.23,42995.0
2019-01-23 10:07:00,146.22,146.25,145.95,145.96,160054.0
2019-01-23 10:08:00,145.95,145.9579,145.78,145.8764,113741.0
2019-01-23 10:09:00,145.88,145.94,145.8368,145.8368,41841.0
2019-01-23 10:10:00,145.8204,146.02,145.81,146.01,67496.0
2019-01-23 10:11:00,146.04,146.125,146.04,146.08,77870.0
2019-01-23 10:12:00,146.105,146.12,145.87,145.939,134999.0
2019-01-23 10:13:00,145.89,145.96,145.88,145.94,58756.0
2019-01-23 10:14:00,145.95,146.06,145.95,145.975,79005.0
2019-01-23 10:15:00,145.965,145.965,145.72,145.72,74145.0
2019-01-23 10:16:00,145.73,145.73,145.59,145.67,83422.0
2019-01-23 10:17:00,145.65,145.76,145.5439,145.5439,88106.0
2019-01-23 10:18:00,145.52,145.62,145.5,145.62,120104.0
2019-01-23 10:19:00,145.56,145.5702,145.49,145.5,155466.0
2019-01-23 10:20:00,145.51,145.6198,145.233,145.233,129335.0
2019-01-23 10:21:00,145.22,145.22,145.04,145.11,109766.0
2019-01-23 10:22:00,145.15,145.3,145.15,145.245,65161.0
2019-01-23 10:23:00,145.23,145.29,145.22,145.27,50305.0
2019-01-23 10:24:00,145.27,145.27,145.02,145.0401,100751.0
2019-01-23 10:25:00,145.01,145.16,144.92,145.06,161846.0
2019-01-23 10:26:00,145.07,145.18,145.07,145.0701,65342.0
2019-01-23 10:27:00,145.01,145.1277,145.01,145.1248,61617.0
2019-01-23 10:28:00,145.14,145.32,145.14,145.26,81447.0
2019-01-23 10:29:00,145.25,145.33,145.2301,145.33,48554.0
2019-01-23 10:30:00,145.36,145.36,145.23,145.3583,40042.0
2019-01-23 10:31:00,145.3599,145.3599,145.15,145.21,48517.0
2019-01-23 10:32:00,145.27,145.45,145.24,145.45,64548.0
2019-01-23 10:33:00,145.4955,145.7,145.4955,145.67,65989.0
2019-01-23 10:34:00,145.6432,145.88,145.63,145.88,53017.0
2019-01-23 10:35:00,145.87,145.87,145.71,145.72,42287.0
2019-01-23 10:36:00,145.8,145.89,145.77,145.82,78326.0
2019-01-23 10:37:00,145.83,145.91,145.72,145.72,167287.0
2019-01-23 10:38:00,145.72,145.8537,145.72,145.8537,24488.0
2019-01-23 10:39:00,145.81,145.8878,145.8,145.871,84582.0
2019-01-23 10:40:00,145.83,145.95,145.83,145.855,90086.0
2019-01-23 10:41:00,145.86,145.94,145.64,145.65,53179.0
2019-01-23 10:42:00,145.61,145.7075,145.5801,145.62,39261.0
2019-01-23 10:43:00,145.57,145.6469,145.4696,145.4696,34800.0
2019-01-23 10:44:00,145.48,145.5,145.36,145.415,36225.0
2019-01-23 10:45:00,145.42,145.42,145.29,145.35,50003.0
2019-01-23 10:46:00,145.3381,145.3381,145.15,145.27,54707.0
2019-01-23 10:47:00,145.27,145.33,145.27,145.33,28844.0
2019-01-23 10:48:00,145.36,145.4,145.2001,145.2001,33158.0
2019-01-23 10:49:00,145.17,145.235,145.11,145.235,65713.0
2019-01-23 10:50:00,145.2,145.2,145.0,145.0,40817.0
2019-01-23 10:51:00,145.01,145.2604,145.0,145.25,45631.0
2019-01-23 10:52:00,145.27,145.27,145.0,145.04,37844.0
2019-01-23 10:53:00,145.0,145.11,144.97,145.01,104321.0
2019-01-23 10:54:00,145.0,145.119,145.0,145.09,23599.0
2019-01-23 10:55:00,145.1099,145.219,145.1099,145.2,28562.0
2019-01-23 10:56:00,145.2,145.26,145.2,145.26,33203.0
2019-01-23 10:57:00,145.31,145.31,145.18,145.18,32717.0
2019-01-23 10:58:00,145.1227,145.1227,145.04,145.0501,48333.0
2019-01-23 10:59:00,145.08,145.3,145.08,145.3,30523.0
2019-01-23 11:00:00,145.21,145.33,145.1572,145.33,27031.0
2019-01-23 11:01:00,145.3302,145.42,145.3302,145.38,26719.0
2019-01-23 11:02:00,145.37,145.4,145.26,145.34,50006.0
2019-01-23 11:03:00,145.33,145.37,145.25,145.25,18378.0
2019-01-23 11:04:00,145.25,145.38,145.25,145.32,24092.0
2019-01-23 11:05:00,145.362,145.49,145.362,145.45,28211.0
2019-01-23 11:06:00,145.45,145.47,145.43,145.43,13691.0
2019-01-23 11:07:00,145.34,145.35,145.28,145.34,23776.0
2019-01-23 11:08:00,145.38,145.41,145.321,145.36,19732.0
2019-01-23 11:09:00,145.27,145.27,145.1325,145.18,22686.0
2019-01-23 11:10:00,145.14,145.15,145.07,145.15,24854.0
2019-01-23 11:11:00,145.14,145.19,145.13,145.19,35181.0
2019-01-23 11:12:00,145.209,145.2606,145.2,145.2606,30982.0
2019-01-23 11:13:00,145.26,145.27,145.21,145.2351,38467.0
2019-01-23 11:14:00,145.2375,145.2375,145.12,145.12,54728.0
2019-01-23 11:15:00,145.12,145.15,144.97,145.05,84741.0
2019-01-23 11:16:00,145.03,145.11,145.03,145.1,40351.0
2019-01-23 11:17:00,145.12,145.12,144.74,144.77,140847.0
2019-01-23 11:18:00,144.74,144.749,144.57,144.62,120427.0
2019-01-23 11:19:00,144.59,144.66,144.53,144.6,66994.0
2019-01-23 11:20:00,144.58,144.7,144.52,144.7,39971.0
2019-01-23 11:21:00,144.71,144.8,144.6358,144.7097,56655.0
2019-01-23 11:22:00,144.7,144.8706,144.7,144.8706,38339.0
2019-01-23 11:23:00,144.88,144.88,144.73,144.77,33795.0
2019-01-23 11:24:00,144.77,144.8101,144.73,144.73,18441.0
2019-01-23 11:25:00,144.75,144.79,144.66,144.66,68518.0
2019-01-23 11:26:00,144.69,144.78,144.69,144.74,59411.0
2019-01-23 11:27:00,144.75,144.77,144.67,144.75,88626.0
2019-01-23 11:28:00,144.8,144.8,144.69,144.72,37697.0
2019-01-23 11:29:00,144.72,144.9299,144.7,144.86,73538.0
2019-01-23 11:30:00,144.88,144.95,144.85,144.88,34408.0
2019-01-23 11:31:00,144.93,145.03,144.83,144.97,71610.0
2019-01-23 11:32:00,144.9535,144.9535,144.88,144.9399,32619.0
2019-01-23 11:33:00,144.94,145.09,144.94,145.09,26907.0
2019-01-23 11:34:00,145.1,145.28,145.1,145.2,43082.0
2019-01-23 11:35:00,145.21,145.24,145.15,145.205,55216.0
2019-01-23 11:36:00,145.205,145.23,145.13,145.18,58176.0
2019-01-23 11:37:00,145.132,145.1612,145.132,145.16,18330.0
2019-01-23 11:38:00,145.18,145.18,145.076,145.11,21719.0
2019-01-23 11:39:00,145.07,145.11,144.99,145.11,67980.0
2019-01-23 11:40:00,145.13,145.16,145.11,145.16,27013.0
2019-01-23 11:41:00,145.14,145.17,145.0662,145.17,25534.0
2019-01-23 11:42:00,145.175,145.395,145.17,145.39,52386.0
2019-01-23 11:43:00,145.37,145.48,145.29,145.34,50584.0
2019-01-23 11:44:00,145.35,145.5,145.35,145.5,58017.0
2019-01-23 11:45:00,145.48,145.51,145.43,145.43,37972.0
2019-01-23 11:46:00,145.455,145.54,145.42,145.42,30022.0
2019-01-23 11:47:00,145.35,145.42,145.105,145.105,48027.0
2019-01-23 11:48:00,145.12,145.12,145.04,145.09,31782.0
2019-01-23 11:49:00,145.1,145.12,145.03,145.03,30598.0
2019-01-23 11:50:00,145.01,145.01,144.92,144.92,32811.0
2019-01-23 11:51:00,144.9,145.0902,144.9,145.05,40581.0
2019-01-23 11:52:00,145.02,145.13,145.02,145.11,33406.0
2019-01-23 11:53:00,145.1345,145.16,145.11,145.16,27599.0
2019-01-23 11:54:00,145.1,145.1,144.83,144.855,47116.0
2019-01-23 11:55:00,144.8,144.81,144.59,144.66,91684.0
2019-01-23 11:56:00,144.69,144.69,144.5,144.55,43109.0
2019-01-23 11:57:00,144.57,144.69,144.51,144.68,31928.0
2019-01-23 11:58:00,144.64,144.7,144.58,144.58,30469.0
2019-01-23 11:59:00,144.6,144.6,144.37,144.43,36122.0
2019-01-23 12:00:00,144.44,144.57,144.44,144.56,51507.0
2019-01-23 12:01:00,144.55,144.67,144.51,144.66,21648.0
2019-01-23 12:02:00,144.61,144.68,144.49,144.68,50380.0
2019-01-23 12:03:00,144.63,144.68,144.62,144.66,26564.0
2019-01-23 12:04:00,144.7,144.72,144.6648,144.6648,15446.0
2019-01-23 12:05:00,144.62,144.7,144.58,144.7,16423.0
2019-01-23 12:06:00,144.65,144.65,144.5438,144.5438,19858.0
2019-01-23 12:07:00,144.56,144.67,144.52,144.67,17966.0
2019-01-23 12:08:00,144.66,144.66,144.53,144.53,39699.0
2019-01-23 12:09:00,144.5,144.52,144.2,144.23,119749.0
2019-01-23 12:10:00,144.25,144.31,144.18,144.3,52918.0
2019-01-23 12:11:00,144.3,144.38,144.29,144.35,46239.0
2019-01-23 12:12:00,144.38,144.38,144.27,144.29,24336.0
2019-01-23 12:13:00,144.28,144.356,144.28,144.31,18766.0
2019-01-23 12:14:00,144.35,144.41,144.3165,144.3165,22371.0
2019-01-23 12:15:00,144.3597,144.5,144.3597,144.43,43233.0
2019-01-23 12:16:00,144.42,144.42,144.23,144.2396,59492.0
2019-01-23 12:17:00,144.25,144.28,144.15,144.17,30357.0
2019-01-23 12:18:00,144.16,144.38,144.16,144.34,15895.0
2019-01-23 12:19:00,144.38,144.38,144.21,144.23,22589.0
2019-01-23 12:20:00,144.2,144.25,144.13,144.17,24919.0
2019-01-23 12:21:00,144.17,144.26,144.06,144.16,44601.0
2019-01-23 12:22:00,144.13,144.32,144.07,144.32,31963.0
2019-01-23 12:23:00,144.28,144.35,144.2424,144.2424,22967.0
2019-01-23 12:24:00,144.28,144.35,144.28,144.32,26688.0
2019-01-23 12:25:00,144.31,144.42,144.31,144.42,13670.0
2019-01-23 12:26:00,144.4,144.4,144.24,144.36,25322.0
2019-01-23 12:27:00,144.37,144.61,144.37,144.51,37452.0
2019-01-23 12:28:00,144.52,144.52,144.46,144.49,21129.0
2019-01-23 12:29:00,144.52,144.54,144.43,144.46,25789.0
2019-01-23 12:30:00,144.48,144.5,144.47,144.47,15745.0
2019-01-23 12:31:00,144.49,144.6452,144.44,144.6452,31666.0
2019-01-23 12:32:00,144.64,144.67,144.61,144.67,17232.0
2019-01-23 12:33:00,144.67,144.73,144.6,144.62,24811.0
2019-01-23 12:34:00,144.57,144.58,144.51,144.515,26952.0
2019-01-23 12:35:00,144.5,144.53,144.44,144.45,24187.0
2019-01-23 12:36:00,144.44,144.45,144.38,144.42,16083.0
2019-01-23 12:37:00,144.44,144.45,144.37,144.3864,11051.0
2019-01-23 12:38:00,144.37,144.45,144.2668,144.45,26902.0
2019-01-23 12:39:00,144.53,144.53,144.41,144.41,25553.0
2019-01-23 12:40:00,144.41,144.43,144.34,144.38,21334.0
2019-01-23 12:41:00,144.41,144.42,144.31,144.37,22834.0
2019-01-23 12:42:00,144.38,144.38,144.37,144.37,9134.0
2019-01-23 12:43:00,144.3365,144.41,144.3,144.37,21044.0
2019-01-23 12:44:00,144.385,144.385,144.26,144.33,16461.0
2019-01-23 12:45:00,144.34,144.41,144.3141,144.35,14955.0
2019-01-23 12:46:00,144.38,144.62,144.38,144.62,35619.0
2019-01-23 12:47:00,144.6283,144.7,144.6,144.64,31068.0
2019-01-23 12:48:00,144.65,144.69,144.63,144.645,15042.0
2019-01-23 12:49:00,144.71,144.79,144.71,144.71,17344.0
2019-01-23 12:50:00,144.69,144.69,144.61,144.64,17114.0
2019-01-23 12:51:00,144.6,144.61,144.54,144.61,18035.0
2019-01-23 12:52:00,144.58,144.64,144.57,144.63,16414.0
2019-01-23 12:53:00,144.64,144.64,144.62,144.64,10582.0
2019-01-23 12:54:00,144.66,144.66,144.62,144.65,15669.0
2019-01-23 12:55:00,144.62,144.62,144.46,144.5022,23222.0
2019-01-23 12:56:00,144.51,144.51,144.38,144.48,16347.0
2019-01-23 12:57:00,144.45,144.5,144.43,144.45,12851.0
2019-01-23 12:58:00,144.48,144.5932,144.48,144.5932,8391.0
2019-01-23 12:59:00,144.56,144.62,144.56,144.61,16657.0
2019-01-23 13:00:00,144.58,144.6,144.42,144.4219,17702.0
2019-01-23 13:01:00,144.44,144.44,144.28,144.28,36121.0
2019-01-23 13:02:00,144.29,144.3,144.1401,144.1401,49621.0
2019-01-23 13:03:00,144.12,144.12,144.06,144.08,39274.0
2019-01-23 13:04:00,144.1,144.1,144.0,144.03,128418.0
2019-01-23 13:05:00,144.03,144.07,144.0,144.07,42618.0
2019-01-23 13:06:00,144.05,144.06,144.0,144.0,23249.0
2019-01-23 13:07:00,144.04,144.09,144.0,144.09,21823.0
2019-01-23 13:08:00,144.11,144.14,144.09,144.0936,19273.0
2019-01-23 13:09:00,144.13,144.255,144.13,144.255,27638.0
2019-01-23 13:10:00,144.24,144.53,144.24,144.53,27308.0
2019-01-23 13:11:00,144.5,144.56,144.4476,144.4476,24547.0
2019-01-23 13:12:00,144.46,144.46,144.28,144.33,18734.0
2019-01-23 13:13:00,144.37,144.41,144.32,144.33,25021.0
2019-01-23 13:14:00,144.35,144.3999,144.32,144.3999,12869.0
2019-01-23 13:15:00,144.29,144.33,144.24,144.24,16807.0
2019-01-23 13:16:00,144.25,144.35,144.25,144.35,15488.0
2019-01-23 13:17:00,144.35,144.48,144.32,144.48,19835.0
2019-01-23 13:18:00,144.48,144.7,144.45,144.7,29703.0
2019-01-23 13:19:00,144.66,144.68,144.57,144.57,25476.0
2019-01-23 13:20:00,144.55,144.58,144.475,144.48,25764.0
2019-01-23 13:21:00,144.5,144.5,144.44,144.44,25889.0
2019-01-23 13:22:00,144.5,144.51,144.445,144.445,12824.0
2019-01-23 13:23:00,144.42,144.47,144.42,144.45,18445.0
