date,SlowK,SlowD
2019-01-22 12:55,65.234,74.5304
2019-01-22 12:56,36.6646,64.0442
2019-01-22 12:57,11.4635,37.7874
2019-01-22 12:58,3.1302,17.0861
2019-01-22 12:59,9.0745,7.8894
2019-01-22 13:00,10.1107,7.4384
2019-01-22 13:01,10.1107,9.7653
2019-01-22 13:02,4.7509,8.3241
2019-01-22 13:03,0.5845,5.1487
2019-01-22 13:04,1.3082,2.2145
2019-01-22 13:05,7.0134,2.9687
2019-01-22 13:06,21.2986,9.8734
2019-01-22 13:07,26.1309,18.1476
2019-01-22 13:08,19.8412,22.4235
2019-01-22 13:09,7.2508,17.7409
2019-01-22 13:10,2.1989,9.7636
2019-01-22 13:11,16.6138,8.6878
2019-01-22 13:12,27.0396,15.2841
2019-01-22 13:13,39.9307,27.8614
2019-01-22 13:14,39.1515,35.3739
2019-01-22 13:15,45.6974,41.5932
2019-01-22 13:16,56.736,47.195
2019-01-22 13:17,66.1776,56.2037
2019-01-22 13:18,56.0585,59.6574
2019-01-22 13:19,31.6249,51.287
2019-01-22 13:20,10.5883,32.7572
2019-01-22 13:21,17.0066,19.7399
2019-01-22 13:22,46.9217,24.8389
2019-01-22 13:23,71.2696,45.066
2019-01-22 13:24,79.9151,66.0355
2019-01-22 13:25,58.3339,69.8395
2019-01-22 13:26,50.7488,62.9993
2019-01-22 13:27,36.684,48.5889
2019-01-22 13:28,58.9518,48.7948
2019-01-22 13:29,63.2007,52.9455
2019-01-22 13:30,76.6306,66.261
2019-01-22 13:31,63.3629,67.7314
2019-01-22 13:32,66.9767,68.99
2019-01-22 13:33,62.334,64.2245
2019-01-22 13:34,56.6655,61.992
2019-01-22 13:35,39.999,52.9995
2019-01-22 13:36,27.2232,41.2959
2019-01-22 13:37,24.8171,30.6797
2019-01-22 13:38,38.6284,30.2229
2019-01-22 13:39,65.1455,42.8637
2019-01-22 13:40,87.4661,63.7467
2019-01-22 13:41,96.9883,83.2
2019-01-22 13:42,79.4062,87.9535
2019-01-22 13:43,56.2959,77.5635
2019-01-22 13:44,26.2964,53.9995
2019-01-22 13:45,15.6864,32.7596
2019-01-22 13:46,14.6238,18.8689
2019-01-22 13:47,23.5691,17.9598
2019-01-22 13:48,46.8972,28.3634
2019-01-22 13:49,66.7632,45.7432
2019-01-22 13:50,81.757,65.1391
2019-01-22 13:51,84.9314,77.8172
2019-01-22 13:52,73.6598,80.1161
2019-01-22 13:53,51.3866,69.9926
2019-01-22 13:54,29.9748,51.6737
2019-01-22 13:55,22.9469,34.7694
2019-01-22 13:56,37.1775,30.0331
2019-01-22 13:57,50.9301,37.0182
2019-01-22 13:58,51.4263,46.5113
2019-01-22 13:59,40.1336,47.4967
2019-01-22 14:00,25.3451,38.9683
2019-01-22 14:01,44.9751,36.818
